Year,Player_Name,Birth_date,ipl start,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2022,Yuzvendra Chahal,23-07-1990,2013,17,1,5,5,5,8,62.5,0,0,0,0,0,0,17,408,527,27,May-40,19.52,7.75,15.11,1,1
2021,Yuzvendra Chahal,23-07-1990,2013,15,2,10,8,0,27,37.03,0,0,0,0,4,0,15,318,374,18,03-Nov,20.77,7.05,17.66,0,0
2020,Yuzvendra Chahal,23-07-1990,2013,15,1,1,1,1,3,33.33,0,0,0,0,1,0,15,343,405,21,Mar-18,19.28,7.08,16.33,0,0
2019,Yuzvendra Chahal,23-07-1990,2013,14,1,6,4,3,16,37.5,0,0,0,0,3,0,14,296,386,18,Apr-38,21.44,7.82,16.44,1,0
2018,Yuzvendra Chahal,23-07-1990,2013,14,1,0,0,0,4,0,0,0,0,0,2,0,14,300,363,12,Feb-22,30.25,7.26,25,0,0
2017,Yuzvendra Chahal,23-07-1990,2013,13,3,13,4,4.33,26,50,0,0,0,0,3,0,13,261,333,14,Mar-16,23.78,7.65,18.64,0,0
2016,Yuzvendra Chahal,23-07-1990,2013,13,0,0,0,0,0,0,0,0,0,0,4,0,13,295,401,21,Apr-25,19.09,8.15,14.04,1,0
2015,Yuzvendra Chahal,23-07-1990,2013,15,2,1,1,0,1,100,0,0,0,0,4,0,15,281,415,23,Mar-40,18.04,8.86,12.21,0,0
2014,Yuzvendra Chahal,23-07-1990,2013,14,2,1,1,0,1,100,0,0,0,0,3,0,14,330,386,12,Feb-17,32.16,7.01,27.5,0,0
2013,Yuzvendra Chahal,23-07-1990,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,34,0,0/34,0,8.5,0,0,0
2024,Yuzvendra Chahal,23-07-1990,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,25,1,Jan-25,25,8.33,18,0,0
2023,Yuzvendra Chahal,23-07-1990,2013,14,0,0,0,0,0,0,0,0,0,0,1,0,14,317,432,21,Apr-17,20.57,8.18,15.1,3,0
2022,Yashasvi Jaiswal,28-12-2001,2020,10,0,258,68,25.8,194,132.99,0,2,28,10,2,0,10,1,6,0,0/6,0,36,0,0,0
2021,Yashasvi Jaiswal,28-12-2001,2020,10,0,249,50,24.9,168,148.21,0,1,32,10,3,0,10,0,0,0,0,0,0,0,0,0
2020,Yashasvi Jaiswal,28-12-2001,2020,3,0,40,34,13.33,44,90.9,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0
2024,Yashasvi Jaiswal,28-12-2001,2020,15,1,435,104,31.07,279,155.91,1,1,54,16,4,0,0,0,0,0,0,0,0,0,0,0
2023,Yashasvi Jaiswal,28-12-2001,2020,14,1,625,124,48.08,382,163.61,1,5,82,26,8,0,14,0,0,0,0,0,0,0,0,0
2024,Virat Kohli,05-11-1988,2008,15,3,741,113,61.75,479,154.7,1,5,62,38,8,0,0,0,0,0,0,0,0,0,0,0
2023,Virat Kohli,05-11-1988,2008,14,2,639,101,53.25,457,139.82,2,6,65,16,13,0,14,0,0,0,0,0,0,0,0,0
2022,Virat Kohli,05-11-1988,2008,16,1,341,73,22.73,294,115.99,0,2,32,8,9,0,16,0,0,0,0,0,0,0,0,0
2021,Virat Kohli,05-11-1988,2008,15,1,405,72,28.92,339,119.46,0,3,43,9,8,0,15,0,0,0,0,0,0,0,0,0
2020,Virat Kohli,05-11-1988,2008,15,4,466,90,42.36,384,121.35,0,3,23,11,3,0,15,0,0,0,0,0,0,0,0,0
2019,Virat Kohli,05-11-1988,2008,14,0,464,100,33.14,328,141.46,1,2,46,13,5,0,14,0,0,0,0,0,0,0,0,0
2018,Virat Kohli,05-11-1988,2008,14,3,530,92,48.18,381,139.1,0,4,52,18,8,0,14,0,0,0,0,0,0,0,0,0
2017,Virat Kohli,05-11-1988,2008,10,0,308,64,30.8,252,122.22,0,4,23,11,6,0,10,0,0,0,0,0,0,0,0,0
2016,Virat Kohli,05-11-1988,2008,16,4,973,113,81.08,640,152.03,4,7,83,38,6,0,16,6,13,0,0/13,0,13,0,0,0
2015,Virat Kohli,05-11-1988,2008,16,5,505,82,45.9,386,130.82,0,3,35,23,7,0,16,11,10,0,0/4,0,5.45,0,0,0
2014,Virat Kohli,05-11-1988,2008,14,1,359,73,27.61,294,122.1,0,2,23,16,7,0,14,0,0,0,0,0,0,0,0,0
2013,Virat Kohli,05-11-1988,2008,16,2,634,99,45.28,457,138.73,0,6,64,22,7,0,16,0,0,0,0,0,0,0,0,0
2012,Virat Kohli,05-11-1988,2008,16,2,364,73,28,326,111.65,0,2,33,9,7,0,16,18,49,0,0/13,0,16.33,0,0,0
2011,Virat Kohli,05-11-1988,2008,16,4,557,71,46.41,460,121.08,0,4,55,16,7,0,16,102,139,2,01-Aug,69.5,8.17,51,0,0
2010,Virat Kohli,05-11-1988,2008,16,2,307,58,27.9,212,144.81,0,1,26,12,3,0,16,32,50,0,0/1,0,9.37,0,0,0
2009,Virat Kohli,05-11-1988,2008,16,2,246,50,22.36,219,112.32,0,1,22,8,9,0,16,36,46,0,0/9,0,7.66,0,0,0
2008,Virat Kohli,05-11-1988,2008,13,1,165,38,15,157,105.09,0,0,18,4,2,0,13,46,61,2,Feb-25,30.5,7.95,23,0,0
2022,Suryakumar Yadav,14-09-1990,2012,8,1,303,68,43.29,208,145.67,0,3,23,16,3,0,8,0,0,0,0,0,0,0,0,0
2021,Suryakumar Yadav,14-09-1990,2012,14,0,317,82,22.64,221,143.43,0,2,40,10,5,0,14,0,0,0,0,0,0,0,0,0
2020,Suryakumar Yadav,14-09-1990,2012,16,3,480,79,40,331,145.01,0,4,61,11,8,0,16,0,0,0,0,0,0,0,0,0
2019,Suryakumar Yadav,14-09-1990,2012,16,2,424,71,32.61,324,130.86,0,2,45,10,9,0,16,0,0,0,0,0,0,0,0,0
2018,Suryakumar Yadav,14-09-1990,2012,14,0,512,72,36.57,384,133.33,0,4,61,16,8,0,14,0,0,0,0,0,0,0,0,0
2017,Suryakumar Yadav,14-09-1990,2012,10,1,105,31,17.5,88,119.31,0,0,8,3,5,0,10,0,0,0,0,0,0,0,0,0
2016,Suryakumar Yadav,14-09-1990,2012,15,4,182,60,26,143,127.27,0,1,18,5,6,0,15,0,0,0,0,0,0,0,0,0
2015,Suryakumar Yadav,14-09-1990,2012,13,4,157,46,17.44,113,138.93,0,0,12,8,7,0,13,0,0,0,0,0,0,0,0,0
2014,Suryakumar Yadav,14-09-1990,2012,16,5,164,34,32.8,117,140.17,0,0,16,5,7,0,16,6,8,0,0/8,0,8,0,0,0
2012,Suryakumar Yadav,14-09-1990,2012,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Suryakumar Yadav,14-09-1990,2012,16,2,605,103,43.21,334,181.14,1,5,65,28,6,0,16,0,0,0,0,0,0,0,0,0
2024,Suryakumar Yadav,14-09-1990,2012,11,1,345,102,34.5,206,167.48,1,3,36,18,4,0,0,0,0,0,0,0,0,0,0,0
2022,Shivam Dube,26-06-1993,2019,11,1,289,95,28.9,185,156.22,0,2,22,16,6,0,11,12,36,0,0/11,0,18,0,0,0
2021,Shivam Dube,26-06-1993,2019,9,1,230,64,28.75,193,119.17,0,1,18,10,2,0,9,30,49,0,0/5,0,9.8,0,0,0
2020,Shivam Dube,26-06-1993,2019,11,2,129,27,18.42,105,122.85,0,0,5,9,2,0,11,54,73,4,Feb-15,18.25,8.11,13.5,0,0
2019,Shivam Dube,26-06-1993,2019,4,1,40,24,13.33,33,121.21,0,0,1,3,1,0,4,10,8,0,0/3,0,4.8,0,0,0
2024,Shivam Dube,26-06-1993,2019,2,2,396,36,0,42,166.67,0,0,5,5,0,0,2,0,0,0,0,0,0,0,0,0
2023,Shivam Dube,26-06-1993,2019,16,3,418,52,38,264,158.33,0,3,12,35,6,0,16,0,0,0,0,0,0,0,0,0
2024,Sanju Samson,11-11-1994,2013,15,4,531,86,48.27,346,153.47,0,5,48,24,6,1,0,0,0,0,0,0,0,0,0,0
2023,Sanju Samson,11-11-1994,2013,14,2,362,66,30.17,236,153.39,0,3,25,24,3,3,14,0,0,0,0,0,0,0,0,0
2022,Sanju Samson,11-11-1994,2013,17,1,458,55,28.63,312,146.79,0,2,43,26,14,2,17,0,0,0,0,0,0,0,0,0
2021,Sanju Samson,11-11-1994,2013,14,2,484,119,40.33,354,136.72,1,2,45,17,7,4,14,0,0,0,0,0,0,0,0,0
2020,Sanju Samson,11-11-1994,2013,14,1,375,85,28.84,236,158.89,0,3,21,26,9,2,14,0,0,0,0,0,0,0,0,0
2019,Sanju Samson,11-11-1994,2013,12,2,342,102,34.2,230,148.69,1,0,28,13,4,1,12,0,0,0,0,0,0,0,0,0
2018,Sanju Samson,11-11-1994,2013,15,1,441,92,31.5,320,137.81,0,3,30,19,5,0,15,0,0,0,0,0,0,0,0,0
